Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:24:21.274	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.276	0.149	-0.985	-7.507	-14.404	-20.386	176.122	8.564	169.393	8.333	16.48	35.667	23.830	0.070	0.084	0.994	0.024	10080.1.3	
13:24:21.388	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.229	-0.052	-0.833	9.583	-4.700	-8.484	176.594	9.569	170.865	8.333	16.48	35.667	23.830	0.083	0.082	0.993	0.028	10080.1.3	
13:24:21.477	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.160	-0.056	-0.877	8.362	30.762	34.058	177.089	8.042	169.849	7.893	16.6	35.927	23.830	0.083	0.082	0.993	0.028	10080.1.3	
13:24:21.590	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.081	0.011	-1.024	8.911	23.621	19.592	177.720	5.817	168.668	7.893	16.6	35.927	23.830	0.083	0.082	0.993	0.028	10080.1.3	
13:24:21.679	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.079	0.084	-1.116	-4.150	5.066	3.357	178.286	4.960	168.124	7.893	16.6	35.927	23.830	0.051	0.100	0.994	0.014	10080.1.3	
13:24:21.791	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.129	0.117	-1.063	-9.521	-12.878	-30.151	177.155	5.372	169.607	6.727	16.507	35.987	23.830	0.051	0.100	0.994	0.014	10080.1.3	
13:24:21.883	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.102	0.013	-0.975	-0.061	-3.845	-27.405	176.776	6.581	172.343	6.727	16.507	35.987	23.830	0.051	0.100	0.994	0.014	10080.1.3	
13:24:22.035	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.054	0.020	-1.007	3.357	2.747	-21.423	177.545	6.685	174.771	6.727	16.507	35.987	23.830	0.061	0.053	0.996	0.022	10080.1.3	
13:24:22.085	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.090	0.032	-0.999	8.850	0.610	-17.883	178.193	6.449	176.649	6.727	16.507	35.987	23.830	0.061	0.053	0.996	0.022	10080.1.3	
13:24:22.234	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.158	0.055	-0.984	8.667	-12.573	-28.076	179.632	6.938	178.709	6.727	16.507	35.987	23.830	0.061	0.053	0.996	0.022	10080.1.3	
13:24:22.288	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.127	-0.032	-0.942	2.930	1.160	-23.743	-179.929	7.333	-178.704	6.727	16.507	35.987	23.830	0.061	0.053	0.996	0.022	10080.1.3	
13:24:22.400	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.096	-0.076	-1.021	11.230	1.648	-10.010	-179.022	6.817	-176.424	2.1	18.56	35.013	23.830	0.061	0.053	0.996	0.022	10080.1.3	
13:24:22.489	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.095	-0.003	-1.011	-12.085	-1.282	-8.789	-178.901	6.735	-175.095	2.1	18.56	35.013	23.830	0.061	0.053	0.996	0.022	10080.1.3	
13:24:22.604	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.088	0.011	-0.979	-6.287	12.207	-12.939	179.956	6.202	-173.903	2.1	18.56	35.013	23.830	0.059	-0.048	0.997	0.001	10080.1.3	
13:24:22.692	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.070	-0.020	-1.059	4.211	9.583	-12.939	-179.555	5.010	-172.277	2.1	18.56	35.013	23.830	0.059	-0.048	0.997	0.001	10080.1.3	
