Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:25:54.063	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.242	-0.228	-0.935	-6.287	-5.432	-0.183	-167.234	14.277	168.882	12.413	24.16	28.747	23.720	0.108	0.116	0.979	-0.130	10080.1.3	
13:25:54.131	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.161	-0.109	-0.928	-1.221	-1.648	-15.015	-167.135	14.694	169.667	12.413	24.16	28.747	23.720	0.108	0.116	0.979	-0.130	10080.1.3	
13:25:54.309	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.321	-0.044	-0.962	-2.075	-15.320	-79.590	-166.602	14.260	174.034	12.413	24.16	28.747	23.720	0.118	0.055	0.984	-0.122	10080.1.3	
13:25:54.333	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.121	-0.471	-0.813	30.334	17.578	-70.801	-163.768	12.508	-177.248	12.413	24.16	28.747	23.720	0.118	0.055	0.984	-0.122	10080.1.3	
13:25:54.467	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.021	-0.449	-0.824	44.617	33.936	-30.029	-158.489	8.893	-172.447	2.047	28.5	26.2	23.720	0.118	0.055	0.984	-0.122	10080.1.3	
13:25:54.534	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.032	-0.431	-0.974	13.367	36.743	-36.438	-155.539	4.213	-169.843	2.047	28.5	26.2	23.720	0.042	-0.093	0.974	-0.204	10080.1.3	
13:25:54.669	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.060	-0.525	-1.015	-54.016	1.892	-20.813	-158.840	1.577	-167.146	2.047	28.5	26.2	23.720	0.042	-0.093	0.974	-0.204	10080.1.3	
13:25:54.738	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.004	-0.285	-0.956	-28.259	11.902	11.108	-160.763	2.999	-166.399	-4.96	28.367	26.007	23.720	0.042	-0.093	0.974	-0.204	10080.1.3	
13:25:54.848	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.071	-0.280	-0.947	-10.437	-23.254	-20.203	-164.053	0.901	-166.152	-4.96	28.367	26.007	23.720	0.030	-0.123	0.983	-0.135	10080.1.3	
13:25:54.939	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.006	-0.270	-0.842	30.151	-22.278	-33.142	-163.246	2.527	-163.141	-4.96	28.367	26.007	23.720	0.030	-0.123	0.983	-0.135	10080.1.3	
13:25:55.051	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.298	-0.184	-1.265	-57.861	-30.701	-156.921	-162.812	0.835	-153.479	-6.64	26.3	28.587	23.720	0.030	-0.123	0.983	-0.135	10080.1.3	
13:25:55.142	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.137	-0.432	-0.857	-28.992	-38.208	-128.967	-165.685	2.906	-138.609	-6.64	26.3	28.587	23.720	0.081	-0.393	0.910	-0.107	10080.1.3	
