Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:26:14.401	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.003	-0.014	-0.957	-19.958	-33.447	50.903	179.973	2.703	-122.102	-20.62	9.493	36.52	23.720	0.008	-0.498	0.867	-0.002	10080.1.3	
13:26:14.469	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.013	0.211	-0.884	-5.432	3.662	-18.982	178.929	3.884	-124.310	-20.62	9.493	36.52	23.720	0.008	-0.498	0.867	-0.002	10080.1.3	
13:26:14.603	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.030	0.005	-0.963	23.438	23.865	-82.947	-179.346	2.170	-119.075	-20.62	9.493	36.52	23.720	0.008	-0.498	0.867	-0.002	10080.1.3	
13:26:14.670	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.019	-0.091	-1.036	7.263	24.902	-65.002	-177.836	-0.615	-111.643	-20.62	9.493	36.52	23.720	0.008	-0.498	0.867	-0.002	10080.1.3	
13:26:14.805	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.020	-0.087	-1.069	-9.460	2.991	-14.160	-178.242	-1.923	-107.798	-22.66	6.647	36.62	23.720	0.008	-0.498	0.867	-0.002	10080.1.3	
13:26:14.874	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.030	-0.050	-1.054	-11.353	-15.015	3.479	-179.319	-0.879	-107.122	-22.66	6.647	36.62	23.720	0.008	-0.498	0.867	-0.002	10080.1.3	
13:26:15.008	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.016	-0.059	-0.945	6.958	-13.306	17.395	-179.429	0.797	-107.655	-22.66	6.647	36.62	23.720	0.005	-0.592	0.806	-0.000	10080.1.3	
13:26:15.076	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.172	0.064	-0.926	9.155	-1.587	-1.892	-178.412	1.703	-108.474	-22.66	6.647	36.62	23.720	0.005	-0.592	0.806	-0.000	10080.1.3	
13:26:15.210	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.132	0.280	-0.932	4.883	33.936	-61.157	-177.698	0.489	-106.326	-22.66	6.647	36.62	23.720	0.005	-0.592	0.806	-0.000	10080.1.3	
13:26:15.279	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.344	-0.084	-1.184	11.353	28.625	-99.609	-177.726	-4.208	-97.542	-22.66	6.647	36.62	23.720	0.005	-0.592	0.806	-0.000	10080.1.3	
13:26:15.414	WT901BLE67(C1:7D:B8:9B:C4:D7)	1.080	-0.114	-1.244	-73.242	-1.709	-117.065	177.100	-5.971	-86.825	-27.3	0.7	35.42	23.720	0.005	-0.592	0.806	-0.000	10080.1.3	
13:26:15.482	WT901BLE67(C1:7D:B8:9B:C4:D7)	3.065	-1.234	-1.514	28.320	43.091	15.320	173.644	-7.756	-78.547	-27.3	0.7	35.42	23.720	0.005	-0.592	0.806	-0.000	10080.1.3	
13:26:15.638	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.430	-3.392	-1.530	-50.903	75.073	882.080	-163.592	-10.349	-118.702	-27.3	0.7	35.42	23.720	-0.033	-0.668	0.733	-0.127	10080.1.3	
13:26:15.684	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.362	-0.246	0.174	-130.310	-41.260	1201.111	175.117	4.290	130.325	-27.3	0.7	35.42	23.720	-0.033	-0.668	0.733	-0.127	10080.1.3	
13:26:15.841	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.347	-0.276	-0.024	59.631	-84.045	1199.646	178.204	-6.257	9.657	-27.3	0.7	35.42	23.720	-0.033	-0.668	0.733	-0.127	10080.1.3	
13:26:15.886	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.368	-0.240	-0.243	52.124	85.327	1197.449	-168.118	7.037	-106.622	-27.3	0.7	35.42	23.720	-0.033	-0.668	0.733	-0.127	10080.1.3	
13:26:15.998	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.385	-0.264	-0.345	-63.354	25.879	1195.496	172.441	2.241	132.133	11.407	11.68	30.093	23.720	-0.033	-0.668	0.733	-0.127	10080.1.3	
13:26:16.089	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.354	-0.246	-0.571	-4.333	-86.609	1193.420	-179.176	-7.147	11.953	11.407	11.68	30.093	23.720	-0.033	-0.668	0.733	-0.127	10080.1.3	
13:26:16.204	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.345	-0.263	-0.669	35.339	44.434	1190.918	-173.177	5.537	-103.667	11.407	11.68	30.093	23.720	0.052	-0.917	0.394	-0.028	10080.1.3	
13:26:16.291	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.373	-0.257	-0.722	-10.132	37.720	1188.599	176.935	1.307	135.720	11.407	11.68	30.093	23.720	0.052	-0.917	0.394	-0.028	10080.1.3	
13:26:16.403	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.374	-0.225	-0.829	-28.503	-56.396	1186.401	179.440	-2.878	16.584	11.407	11.68	30.093	23.720	0.052	-0.917	0.394	-0.028	10080.1.3	
13:26:16.493	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.358	-0.271	-0.828	17.761	11.047	1184.143	-177.643	0.577	-99.124	11.407	11.68	30.093	23.720	0.052	-0.917	0.394	-0.028	10080.1.3	
13:26:16.606	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.678	-0.205	-1.359	-4.517	26.001	1181.702	-177.160	1.928	143.580	-14.027	15.787	24.64	23.720	0.052	-0.917	0.394	-0.028	10080.1.3	
13:26:16.696	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.092	-0.280	-2.208	110.535	-100.464	994.324	-172.293	4.927	37.293	-14.027	15.787	24.64	23.720	0.052	-0.917	0.394	-0.028	10080.1.3	
13:26:16.809	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.229	0.162	-2.066	192.444	66.589	965.332	-177.253	8.190	-61.436	-14.027	15.787	24.64	23.720	0.063	-0.983	0.152	0.084	10080.1.3	
13:26:16.899	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.182	-0.109	1.045	-17.517	-82.581	974.060	165.795	9.558	-158.494	-14.027	15.787	24.64	23.720	0.063	-0.983	0.152	0.084	10080.1.3	
13:26:17.032	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.011	-0.084	-0.416	7.080	32.959	890.686	172.727	-10.096	111.083	-14.027	15.787	24.64	23.720	0.063	-0.983	0.152	0.084	10080.1.3	
13:26:17.101	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.236	-0.087	-0.822	6.165	8.789	812.744	-171.299	-6.949	24.911	-14.027	15.787	24.64	23.720	0.063	-0.983	0.152	0.084	10080.1.3	
13:26:17.212	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.049	0.213	2.549	-133.118	-22.949	284.851	-173.084	5.609	-43.127	-9.133	-11.993	23.5	23.720	0.063	-0.983	0.152	0.084	10080.1.3	
13:26:17.302	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.075	-0.016	-1.628	184.387	1.038	243.958	-179.094	10.909	-73.218	-9.133	-11.993	23.5	23.720	0.063	-0.983	0.152	0.084	10080.1.3	
13:26:17.415	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.152	-0.326	-0.922	0.671	-1.465	127.014	178.369	10.294	-91.956	-9.133	-11.993	23.5	23.720	-0.060	0.729	-0.678	-0.072	10080.1.3	
13:26:17.529	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.008	-0.176	-0.987	1.038	-8.240	47.974	177.479	9.564	-100.459	-19.973	5.653	24.127	23.720	-0.060	0.729	-0.678	-0.072	10080.1.3	
13:26:17.617	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.006	0.002	-0.999	0.183	-1.587	-0.061	177.797	9.393	-101.689	-19.973	5.653	24.127	23.720	-0.051	0.629	-0.773	-0.065	10080.1.3	
13:26:17.731	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.003	0.003	-1.004	-0.183	1.709	0.000	178.022	8.948	-102.019	-19.973	5.653	24.127	23.720	-0.051	0.629	-0.773	-0.065	10080.1.3	
13:26:17.822	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.005	0.002	-1.002	0.000	-0.671	0.000	178.143	8.481	-102.486	-19.407	7.553	24.067	23.720	-0.051	0.629	-0.773	-0.065	10080.1.3	
