Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:25:31.495	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.039	0.083	-0.988	-10.681	-2.075	-40.283	178.110	4.785	-170.618	-1.567	17.393	36.567	23.720	-0.039	0.102	-0.994	-0.022	10080.1.3	
13:25:31.569	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.114	0.030	-1.015	29.968	10.437	-43.945	179.258	4.213	-166.157	-1.567	17.393	36.567	23.720	-0.039	0.102	-0.994	-0.022	10080.1.3	
13:25:31.696	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.037	-0.133	-0.968	11.169	0.732	-25.635	-177.534	3.768	-161.779	-5.06	17.533	36.353	23.720	-0.039	0.102	-0.994	-0.022	10080.1.3	
13:25:31.771	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.065	-0.068	-1.006	-9.644	-1.831	-9.888	-177.880	3.752	-159.763	-5.06	17.533	36.353	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:31.899	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.008	-0.086	-0.960	-13.855	7.019	0.977	-178.731	3.741	-158.516	-5.06	17.533	36.353	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:31.990	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.049	0.020	-1.033	1.892	2.380	-4.761	-179.138	2.818	-158.176	-5.06	17.533	36.353	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:32.102	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.089	-0.038	-1.022	4.456	-11.047	-16.052	-178.720	3.164	-156.489	-5.06	17.533	36.353	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:32.169	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.073	-0.051	-0.964	-1.587	-3.906	-9.155	-178.583	4.043	-154.830	-5.06	17.533	36.353	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:32.305	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.036	-0.059	-0.974	-3.052	8.240	-6.226	-178.445	3.785	-153.402	-8.233	17.133	36.367	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:32.395	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.005	-0.023	-1.008	0.244	7.751	-17.883	-178.456	2.944	-151.765	-8.233	17.133	36.367	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:32.508	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.020	-0.002	-0.996	4.150	11.230	-18.860	-178.380	1.917	-149.507	-8.233	17.133	36.367	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
13:25:32.583	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.025	-0.068	-0.999	8.240	27.344	-19.836	-177.517	0.115	-146.695	-8.233	17.133	36.367	23.720	-0.037	0.181	-0.983	0.008	10080.1.3	
